Grupp A - Tabell,,,,HemmaLag,,,,BortaLag,,,HemmaScore,,BortaScore,,,,Grupp B - Tabell,,,,HemmaLag2,,,,BortaLag2,,,HemmaScore2,,BortaScore2
9,13.06.2016,18:00,,Irland,,,:,Zverige,,,1,:,2,,,,11,14.06.2016,18:00,,÷sterrike,,,:,Ungern,,,2,:,1
10,13.06.2016,21:00,,Belgien,,,:,Italien,,,0,:,2,,,,12,14.06.2016,21:00,,Portugal,,,:,Island,,,3,:,0
21,17.06.2016,15:00,,Italien,,,:,Zverige,,,2,:,0,,,,23,18.06.2016,18:00,,Island,,,:,Ungern,,,1,:,0
22,18.06.2016,15:00,,Belgien,,,:,Irland,,,3,:,0,,,,24,18.06.2016,21:00,,Portugal,,,:,÷sterrike,,,2,:,0
33,22.06.2016,21:00,,Italien,,,:,Irland,,,2,:,0,,,,35,22.06.2016,21:00,,Ungern,,,:,Portugal,,,0,:,1
34,22.06.2016,21:00,,Zverige,,,:,Belgien,,,2,:,0,,,,36,22.06.2016,21:00,,Island,,,:,÷sterrike,,,0,:,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BÑsta treor""-Tabell",,,,,,,,,,,,,,,,,èttondelsfinal,,,,,,,,,,,,,
Plats,Land,,Sm,V,O,   F,,,MÜl,,Diff,PoÑng,Gruppe,,,,Match,Datum,Tid,,,,,Lag,,,,,MÜl,
1,Belgien,,3,1,0,2,,3,:,4,-1,3,E,,,,37,25.06.2016,15:00,,Schweiz,,,:,Polen,,,1,:,0
2,Rum‰nien,,3,1,0,2,,2,:,3,-1,3,A,,,,38,25.06.2016,18:00,,England,,,:,Rum‰nien,,,2,:,0
3,Kroatien,,3,1,0,2,,3,:,6,-3,3,D,,,,39,25.06.2016,21:00,,Spanien,,,:,Belgien,,,2,:,0
4,Island,,3,1,0,2,,1,:,5,-4,3,F,,,,40,26.06.2016,15:00,,Frankrike,,,:,Kroatien,,,2,:,0
5,Ukraina,,3,0,2,1,,3,:,6,-3,2,C,,,,41,26.06.2016,18:00,,Tyskland,,,:,Island,,,4,:,0
6,Ryssland,,3,0,1,2,,3,:,5,-2,1,B,,,,42,26.06.2016,21:00,,Portugal,,,:,Zverige,,,2,:,0
,,,,,,,,,,,,,,,,,43,27.06.2016,18:00,,Italien,,,:,Turkiet,,,1,:,0
,,,,,,,,,,,,,,,,,44,27.06.2016,21:00,,Slovakien,,,:,÷sterrike,,,2,:,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kvartsfinal,,,,,,,,,,,,,,,,,Semifinal,,,,,,,,,,,,,
Match,Datum,Tid,,,,,Lag,,,,,MÜl,,,,,Match,Datum,Tid,,,,,Lag,,,,,MÜl,
45,30.06.2016,21:00,Schweiz,,,,:,Spanien,,,0,:,2,,,,49,06.07.2016,21:00,,Spanien,,,:,Portugal,,,2,:,0
46,01.07.2016,21:00,England,,,,:,Portugal,,,1,:,2,,,,50,07.07.2016,21:00,,Tyskland,,,:,Frankrike,,,2,:,1
47,02.07.2016,21:00,Tyskland,,,,:,Italien,,,2,:,1,,,,,,,,,,,,,,,,,
48,03.07.2016,21:00,Frankrike,,,,:,Slovakien,,,2,:,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Grand Finale,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Match,Datum,Tid,,,,,Lag,,,,,MÜl,
,,,,,,,,,,,,,,,,,51,10.07.2016,21:00,,Spanien,,,:,Tyskland,,,1,:,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Europameister,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Tyskland,,,,,,,,,,,,,,,,,,
