Grupp A - Tabell,,,nannis,HemmaLag,,,,BortaLag,,,HemmaScore,,BortaScore,,,,Grupp B - Tabell,,,,HemmaLag2,,,,BortaLag2,,,HemmaScore2,,BortaScore2
Grupp E - Spelschema,,,,,,,,,,,,,,,,,Gruppe F - Spelschema,,,,,,,,,,,,,
Spel,Datum,Tid,,Lag,,,,,,,,MÜl,,,,,Spel,Datum,Tid,,Lag,,,,,,,,MÜl,
9,13.06.2016,18:00,,Irland,,,:,Zverige,,,1,:,2,,,,11,14.06.2016,18:00,,÷sterrike,,,:,Ungern,,,2,:,1
10,13.06.2016,21:00,,Belgien,,,:,Italien,,,3,:,1,,,,12,14.06.2016,21:00,,Portugal,,,:,Island,,,2,:,1
19,17.06.2016,15:00,,Italien,,,:,Zverige,,,1,:,2,,,,23,18.06.2016,18:00,,Island,,,:,Ungern,,,1,:,0
22,18.06.2016,15:00,,Belgien,,,:,Irland,,,3,:,1,,,,24,18.06.2016,21:00,,Portugal,,,:,÷sterrike,,,1,:,1
36,22.06.2016,21:00,,Italien,,,:,Irland,,,2,:,0,,,,34,22.06.2016,21:00,,Ungern,,,:,Portugal,,,0,:,3
35,22.06.2016,21:00,,Zverige,,,:,Belgien,,,1,:,2,,,,33,22.06.2016,21:00,,Island,,,:,÷sterrike,,,2,:,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BÑsta treor""-Tabell",,,,,,,,,,,,,,,,,èttondelsfinal,,,,,,,,,,,,,
Plats,Land,,Sm,V,O,   F,,,MÜl,,Diff,PoÑng,Gruppe,,,,Match,Datum,Tid,,,,,Lag,,,,,MÜl,
1,Island,,3,1,1,1,,4,:,4,0,4,F,,,,37,25.06.2016,15:00,,Schweiz,,,:,Ukraina,,,1,:,1
2,Kroatien,,3,1,1,1,,3,:,3,0,4,D,,,,38,25.06.2016,18:00,,England,,,:,Rum‰nien,,,3,:,1
3,Italien,,3,1,0,2,,4,:,5,-1,3,E,,,,39,25.06.2016,21:00,,Spanien,,,:,Italien,,,2,:,1
4,Rum‰nien,,3,1,0,2,,3,:,5,-2,3,A,,,,40,26.06.2016,15:00,,Frankrike,,,:,Kroatien,,,3,:,1
5,Ryssland,,3,0,2,1,,3,:,4,-1,2,B,,,,41,26.06.2016,18:00,,Tyskland,,,:,Island,,,3,:,0
6,Polen,,3,0,2,1,,2,:,3,-1,2,C,,,,42,26.06.2016,21:00,,Portugal,,,:,Zverige,,,2,:,1
,,,,,,,,,,,,,,,,,43,27.06.2016,18:00,,Belgien,,,:,Turkiet,,,3,:,0
,,,,,,,,,,,,,,,,,44,27.06.2016,21:00,,Slovakien,,,:,÷sterrike,,,0,:,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kvartsfinal,,,,,,,,,,,,,,,,,Semifinal,,,,,,,,,,,,,
Match,Datum,Tid,,,,,Lag,,,,,MÜl,,,,,Match,Datum,Tid,,,,,Lag,,,,,MÜl,
45,30.06.2016,21:00,Ukraina,,,,:,Spanien,,,1,:,3,,,,49,06.07.2016,21:00,,Spanien,,,:,England,,,0,:,1
46,01.07.2016,21:00,England,,,,:,Portugal,,,2,:,2,,,,50,07.07.2016,21:00,,Belgien,,,:,Frankrike,,,1,:,1
47,02.07.2016,21:00,Tyskland,,,,:,Belgien,,,1,:,2,,,,,,,,,,,,,,,,,
48,03.07.2016,21:00,Frankrike,,,,:,÷sterrike,,,2,:,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Grand Finale,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Match,Datum,Tid,,,,,Lag,,,,,MÜl,
,,,,,,,,,,,,,,,,,51,10.07.2016,21:00,,England,,,:,Frankrike,,,1,:,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Europameister,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Frankrike,,,,,,,,,,,,,,,,,,
